,Agency Name,Black,Hispanic,White,Asian or Pacific Islander,American Indian/Alaska Native,Hawaiian Native/Pacific Islander,Two or More Races,Total Enrollment
530,LOMA PRIETA JOINT UNION ELEMENTARY,2.0,43.0,375.0,25.0,1.0,1.0,60.0,507.0
531,LOMPOC UNIFIED,316.0,6554.0,2430.0,282.0,50.0,29.0,478.0,10139.0
532,LONE PINE UNIFIED,2.0,158.0,70.0,7.0,44.0,0.0,18.0,299.0
533,LONG BEACH UNIFIED,10157.0,43148.0,10090.0,8094.0,152.0,1152.0,3635.0,76428.0
534,LONG BEACH UNIFIED ROP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
535,LOOMIS UNION ELEMENTARY,34.0,530.0,3272.0,150.0,39.0,4.0,164.0,4193.0
536,LOS ALAMITOS UNIFIED,275.0,2513.0,4777.0,1565.0,21.0,60.0,693.0,9904.0
537,LOS ALTOS ELEMENTARY,23.0,360.0,2142.0,1468.0,8.0,5.0,521.0,4527.0
538,LOS ANGELES COUNTY OFFICE OF EDUCATION,1121.0,4701.0,670.0,260.0,21.0,8.0,154.0,6935.0
539,LOS ANGELES COUNTY ROP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
540,LOS ANGELES UNIFIED,52837.0,468734.0,63828.0,35432.0,1226.0,1797.0,9767.0,633621.0
541,LOS ANGELES UNIFIED ROCP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
542,LOS BANOS UNIFIED,191.0,8755.0,1372.0,190.0,51.0,100.0,126.0,10785.0
543,LOS GATOS UNION ELEMENTARY,18.0,247.0,2199.0,615.0,20.0,5.0,159.0,3263.0
544,LOS GATOS-SARATOGA JOINT UNION HIGH,15.0,241.0,1705.0,1035.0,2.0,6.0,342.0,3346.0
545,LOS MOLINOS UNIFIED,0.0,278.0,269.0,9.0,9.0,0.0,28.0,593.0
546,LOS NIETOS,8.0,1567.0,32.0,10.0,2.0,6.0,20.0,1645.0
547,LOS OLIVOS ELEMENTARY,0.0,33.0,104.0,1.0,0.0,0.0,8.0,146.0
548,LOST HILLS UNION ELEMENTARY,2.0,560.0,1.0,2.0,0.0,0.0,2.0,567.0
549,LOWELL JOINT,50.0,2114.0,785.0,119.0,3.0,10.0,72.0,3153.0
550,LUCERNE ELEMENTARY,5.0,73.0,151.0,2.0,10.0,0.0,23.0,264.0
551,LUCERNE VALLEY UNIFIED,92.0,856.0,1239.0,133.0,17.0,6.0,295.0,2638.0
552,LUCIA MAR UNIFIED,76.0,4614.0,5191.0,281.0,50.0,24.0,385.0,10621.0
553,LUTHER BURBANK,11.0,481.0,11.0,6.0,0.0,1.0,10.0,520.0
554,LYNWOOD UNIFIED,735.0,13583.0,111.0,23.0,4.0,32.0,9.0,14497.0
555,MADERA COUNTY SUPERINTENDENT OF SCHOOLS,18.0,742.0,148.0,3.0,8.0,0.0,22.0,941.0
556,MADERA UNIFIED,350.0,18586.0,1330.0,264.0,90.0,11.0,148.0,20779.0
557,MAGNOLIA ELEMENTARY,187.0,4478.0,607.0,818.0,47.0,66.0,74.0,6277.0
558,MAGNOLIA UNION ELEMENTARY,0.0,58.0,72.0,5.0,0.0,0.0,1.0,136.0
559,MAMMOTH UNIFIED,2.0,713.0,455.0,15.0,1.0,2.0,23.0,1211.0
560,MANCHESTER UNION ELEMENTARY,0.0,31.0,16.0,0.0,0.0,0.0,0.0,47.0
561,MANHATTAN BEACH UNIFIED,126.0,807.0,4202.0,714.0,6.0,7.0,914.0,6776.0
562,MANTECA UNIFIED,1628.0,12871.0,4669.0,3154.0,107.0,213.0,758.0,23400.0
563,MANZANITA ELEMENTARY,0.0,109.0,139.0,19.0,2.0,0.0,19.0,288.0
564,MAPLE CREEK ELEMENTARY,1.0,1.0,5.0,0.0,1.0,0.0,4.0,12.0
565,MAPLE ELEMENTARY,0.0,196.0,95.0,1.0,0.0,0.0,0.0,292.0
566,MARCUM-ILLINOIS UNION ELEMENTARY,54.0,385.0,1543.0,68.0,29.0,17.0,319.0,2415.0
567,MARICOPA UNIFIED,277.0,1187.0,2040.0,80.0,44.0,12.0,332.0,3972.0
568,MARIN COUNTY OFFICE OF EDUCATION,10.0,89.0,80.0,17.0,2.0,0.0,15.0,213.0
569,MARIN COUNTY ROP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
570,MARIN PUPIL TRANSPORTATION AGENCY JPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
571,MARIPOSA COUNTY OFFICE OF EDUCATION,0.0,7.0,31.0,0.0,2.0,0.0,2.0,42.0
572,MARIPOSA COUNTY UNIFIED,10.0,332.0,1263.0,27.0,75.0,0.0,132.0,1839.0
573,MARK TWAIN UNION ELEMENTARY,8.0,170.0,580.0,13.0,19.0,0.0,43.0,833.0
574,MARK WEST UNION ELEMENTARY,14.0,423.0,854.0,61.0,25.0,8.0,90.0,1475.0
575,MARTINEZ UNIFIED,105.0,1264.0,1978.0,265.0,8.0,16.0,498.0,4134.0
576,MARYSVILLE JOINT UNIFIED,363.0,4206.0,3752.0,925.0,269.0,41.0,430.0,9986.0
577,MATTOLE UNIFIED,6.0,99.0,526.0,2.0,24.0,1.0,79.0,737.0
578,MAXWELL UNIFIED,0.0,166.0,128.0,3.0,13.0,2.0,14.0,326.0
579,MCCABE UNION ELEMENTARY,4.0,1174.0,159.0,47.0,0.0,1.0,4.0,1389.0
580,MCCLOUD UNION ELEMENTARY,0.0,11.0,43.0,0.0,3.0,0.0,9.0,66.0
581,MCFARLAND UNIFIED,15.0,3496.0,29.0,29.0,1.0,0.0,0.0,3570.0
582,MCKINLEYVILLE UNION ELEMENTARY,10.0,167.0,748.0,14.0,95.0,5.0,112.0,1151.0
583,MCKITTRICK ELEMENTARY,0.0,13.0,61.0,0.0,1.0,0.0,2.0,77.0
584,MCSWAIN UNION ELEMENTARY,4.0,360.0,403.0,53.0,3.0,2.0,34.0,859.0
585,MEADOWS UNION ELEMENTARY,5.0,413.0,65.0,0.0,1.0,2.0,2.0,488.0
586,MENDOCINO COUNTY OFFICE OF EDUCATION,2.0,35.0,21.0,0.0,11.0,1.0,1.0,71.0
587,MENDOCINO COUNTY ROC/ROP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
588,MENDOCINO UNIFIED,6.0,55.0,416.0,14.0,7.0,5.0,14.0,517.0
589,MENDOTA UNIFIED,2.0,3258.0,48.0,3.0,1.0,0.0,27.0,3339.0
590,MENIFEE UNION ELEMENTARY,720.0,5065.0,4481.0,687.0,55.0,67.0,601.0,11676.0
591,MENLO PARK CITY ELEMENTARY,35.0,460.0,1786.0,321.0,4.0,36.0,357.0,2999.0
592,MERCED CITY ELEMENTARY,563.0,7232.0,1611.0,1104.0,31.0,19.0,342.0,10902.0
593,MERCED COUNTY OFFICE OF EDUCATION,54.0,792.0,206.0,24.0,0.0,6.0,22.0,1104.0
594,MERCED COUNTY ROP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
595,MERCED RIVER UNION ELEMENTARY,1.0,112.0,51.0,0.0,2.0,0.0,9.0,175.0
596,MERCED UNION HIGH,426.0,6962.0,1724.0,1037.0,56.0,25.0,147.0,10377.0
597,MERIDIAN ELEMENTARY,129.0,197.0,585.0,52.0,6.0,14.0,107.0,1090.0
598,MESA UNION ELEMENTARY,23.0,566.0,527.0,74.0,5.0,4.0,77.0,1276.0
599,METRO EDUCATION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600,METROPOLITAN EDUCATION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
601,MID-PLACER TRANSPORTATION JPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
602,MIDDLETOWN UNIFIED,3.0,389.0,1148.0,20.0,21.0,4.0,95.0,1680.0
603,MIDWAY ELEMENTARY,0.0,8.0,73.0,0.0,1.0,0.0,3.0,85.0
604,MILL VALLEY ELEMENTARY,22.0,238.0,2415.0,147.0,7.0,5.0,294.0,3128.0
605,MILLBRAE ELEMENTARY,22.0,464.0,504.0,1223.0,3.0,48.0,168.0,2432.0
606,MILLVILLE ELEMENTARY,0.0,13.0,218.0,2.0,2.0,0.0,16.0,251.0
607,MILPITAS UNIFIED,218.0,2089.0,621.0,6838.0,37.0,84.0,373.0,10260.0
608,MISSION TRAILS ROP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
609,MISSION TRAILS ROP JPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
610,MISSION UNION ELEMENTARY,0.0,93.0,28.0,4.0,0.0,0.0,1.0,126.0
611,MISSION VALLEY ROC/P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
612,MISSION VALLEY ROC/P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
613,MODESTO CITY ELEMENTARY,364.0,10546.0,2501.0,673.0,57.0,87.0,1102.0,15330.0
614,MODESTO CITY HIGH,537.0,8547.0,4067.0,948.0,57.0,135.0,1097.0,15388.0
615,MODESTO CITY SCHOOLS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
616,MODOC COUNTY OFFICE OF EDUCATION,4.0,13.0,14.0,0.0,1.0,0.0,1.0,33.0
617,MODOC COUNTY ROP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
618,MODOC JOINT UNIFIED,10.0,130.0,595.0,18.0,68.0,0.0,26.0,847.0
619,MOJAVE UNIFIED,855.0,1184.0,525.0,22.0,23.0,5.0,121.0,2735.0
620,MONO COUNTY OFFICE OF EDUCATION,77.0,210.0,72.0,18.0,0.0,1.0,5.0,383.0
621,MONO COUNTY ROC/P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
622,MONROE ELEMENTARY,0.0,159.0,4.0,7.0,0.0,0.0,0.0,170.0
623,MONROVIA UNIFIED,356.0,3558.0,1140.0,405.0,11.0,13.0,118.0,5601.0
624,MONSON-SULTANA JOINT UNION ELEMENTARY,0.0,401.0,35.0,1.0,0.0,1.0,2.0,440.0
625,MONTAGUE ELEMENTARY,1.0,27.0,75.0,1.0,10.0,4.0,57.0,175.0
626,MONTE RIO UNION ELEMENTARY,1.0,9.0,62.0,2.0,0.0,0.0,16.0,90.0
627,MONTEBELLO UNIFIED,74.0,26222.0,299.0,603.0,54.0,18.0,128.0,27398.0
628,MONTECITO UNION ELEMENTARY,4.0,26.0,356.0,4.0,1.0,0.0,22.0,413.0
629,MONTEREY COUNTY OFFICE OF EDUCATION,37.0,1030.0,575.0,68.0,8.0,6.0,173.0,1897.0
630,MONTEREY PENINSULA UNIFIED,530.0,6194.0,2123.0,927.0,31.0,210.0,717.0,10732.0
631,MONTGOMERY ELEMENTARY,0.0,3.0,23.0,2.0,0.0,0.0,0.0,28.0
632,MOORPARK UNIFIED,85.0,2983.0,2719.0,389.0,8.0,9.0,279.0,6472.0
633,MORAGA ELEMENTARY,16.0,158.0,1145.0,313.0,3.0,2.0,261.0,1898.0
634,MORELAND,116.0,1501.0,1283.0,1517.0,32.0,15.0,316.0,4780.0
635,MORENO VALLEY UNIFIED,4742.0,23647.0,2555.0,1186.0,90.0,260.0,872.0,33352.0
636,MORGAN HILL UNIFIED,166.0,4571.0,2971.0,977.0,45.0,35.0,372.0,9137.0
637,MORONGO UNIFIED,625.0,2627.0,4463.0,233.0,55.0,75.0,388.0,8466.0
638,MOTHER LODE UNION ELEMENTARY,8.0,370.0,633.0,8.0,29.0,1.0,36.0,1085.0
639,MOUNT PLEASANT ELEMENTARY,47.0,1750.0,78.0,371.0,11.0,31.0,83.0,2371.0
640,MOUNTAIN ELEMENTARY,0.0,9.0,101.0,1.0,0.0,0.0,7.0,118.0
641,MOUNTAIN EMPIRE UNIFIED,82.0,1429.0,976.0,43.0,77.0,8.0,166.0,2781.0
642,MOUNTAIN HOUSE ELEMENTARY,0.0,6.0,8.0,0.0,2.0,0.0,0.0,16.0
643,MOUNTAIN UNION ELEMENTARY,1.0,27.0,30.0,0.0,13.0,0.0,5.0,76.0
644,MOUNTAIN VALLEY UNIFIED,0.0,34.0,147.0,35.0,18.0,1.0,38.0,273.0
645,MOUNTAIN VIEW ELEMENTARY,14.0,6628.0,1.0,370.0,3.0,1.0,35.0,7052.0
646,MOUNTAIN VIEW ELEMENTARY,191.0,1866.0,295.0,123.0,2.0,1.0,80.0,2558.0
647,MOUNTAIN VIEW WHISMAN,79.0,2041.0,1546.0,895.0,2.0,28.0,534.0,5125.0
648,MOUNTAIN VIEW-LOS ALTOS UNION HIGH,64.0,1062.0,1702.0,992.0,3.0,20.0,233.0,4076.0
649,MT. BALDY JOINT ELEMENTARY,3.0,37.0,56.0,5.0,1.0,0.0,4.0,106.0
650,MT. DIABLO UNIFIED,1223.0,13298.0,10318.0,3797.0,77.0,227.0,2863.0,31803.0
651,MT. SHASTA UNION ELEMENTARY,16.0,62.0,462.0,13.0,9.0,5.0,13.0,580.0
652,MULBERRY ELEMENTARY,2.0,45.0,36.0,3.0,0.0,0.0,4.0,90.0
653,MUPU ELEMENTARY,4.0,139.0,103.0,4.0,2.0,1.0,15.0,268.0
654,MUROC JOINT UNIFIED,148.0,494.0,924.0,78.0,12.0,8.0,217.0,1881.0
655,MURRIETA VALLEY UNIFIED,1196.0,8227.0,9821.0,1881.0,69.0,170.0,1550.0,22914.0
656,N. CO REGIONAL OCCUPATIONAL PROGRAM JPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
657,NAPA COUNTY OFFICE OF EDUCATION,2.0,111.0,19.0,0.0,0.0,2.0,2.0,136.0
658,NAPA COUNTY ROP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
659,NAPA VALLEY UNIFIED,417.0,9864.0,5410.0,1648.0,49.0,59.0,733.0,18180.0
660,NATIONAL ELEMENTARY,93.0,4941.0,137.0,583.0,6.0,34.0,134.0,5928.0
661,NATOMAS UNIFIED,2552.0,4751.0,2624.0,2983.0,92.0,252.0,1377.0,14631.0
662,NEEDLES UNIFIED,21.0,235.0,475.0,11.0,173.0,2.0,35.0,952.0
663,NEVADA CITY ELEMENTARY,9.0,72.0,701.0,8.0,9.0,2.0,67.0,868.0
664,NEVADA CO CHARTER SERVICES AUTHORITY (JPA),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
665,NEVADA COUNTY OFFICE OF EDUCATION,225.0,1082.0,1679.0,35.0,41.0,8.0,202.0,3272.0
666,NEVADA COUNTY PUPIL TRANSPORTATION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
667,NEVADA JOINT UNION HIGH,23.0,320.0,2337.0,46.0,41.0,6.0,89.0,2862.0
668,NEW HAVEN UNIFIED,686.0,4490.0,736.0,5065.0,52.0,256.0,608.0,11893.0
669,NEW HOPE ELEMENTARY,8.0,170.0,15.0,3.0,0.0,0.0,3.0,199.0
670,NEW JERUSALEM ELEMENTARY,574.0,1823.0,1373.0,399.0,41.0,29.0,349.0,4588.0
671,NEWARK UNIFIED,236.0,3146.0,795.0,1261.0,10.0,113.0,271.0,5832.0
672,NEWCASTLE ELEMENTARY,24.0,258.0,1488.0,272.0,6.0,0.0,209.0,2257.0
673,NEWHALL,153.0,3223.0,2071.0,838.0,21.0,8.0,392.0,6706.0
674,NEWMAN-CROWS LANDING UNIFIED,55.0,2285.0,546.0,30.0,4.0,13.0,70.0,3003.0
675,NEWPORT-MESA UNIFIED,197.0,9635.0,9608.0,1170.0,39.0,105.0,760.0,21514.0
676,NICASIO,0.0,13.0,27.0,3.0,0.0,0.0,0.0,43.0
677,NORRIS ELEMENTARY,58.0,1152.0,2322.0,212.0,43.0,4.0,307.0,4098.0
678,NORTH COUNTY JOINT UNION ELEMENTARY,2.0,437.0,273.0,1.0,0.0,0.0,41.0,754.0
679,NORTH COUNTY REGIONAL OCCUPATIONAL CENTER/PROGRAM (ROC/P),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
680,NORTH COW CREEK ELEMENTARY,2.0,17.0,214.0,4.0,7.0,0.0,19.0,263.0
681,NORTH KERN VOCATIONAL TRAINING CENTER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
682,NORTH KERN VOCATIONAL TRAINING CENTER JPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
683,NORTH MONTEREY COUNTY UNIFIED,15.0,3852.0,611.0,58.0,12.0,13.0,52.0,4613.0
684,NORTH ORANGE COUNTY ROP JPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
685,NORTH ORANGE COUNTY ROP-ADULT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
686,NORTH SANTA CRUZ COUNTY SELPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
687,NORTHERN CALIF. MEDI-CAL ADMIN. SERVICES JPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
688,NORTHERN HUMBOLDT UNION HIGH,13.0,184.0,1202.0,33.0,90.0,4.0,213.0,1739.0
689,NORWALK-LA MIRADA UNIFIED,479.0,14675.0,1600.0,1246.0,30.0,80.0,264.0,18374.0
690,NOVATO UNIFIED,217.0,2773.0,3906.0,466.0,51.0,15.0,441.0,7869.0
691,NUESTRO ELEMENTARY,22.0,69.0,319.0,40.0,6.0,0.0,34.0,490.0
692,NUVIEW UNION,311.0,2084.0,433.0,45.0,12.0,10.0,77.0,2972.0
693,OAK GROVE ELEMENTARY,373.0,4982.0,1851.0,2478.0,29.0,81.0,568.0,10362.0
694,OAK GROVE UNION ELEMENTARY,13.0,371.0,633.0,24.0,12.0,1.0,85.0,1139.0
695,OAK PARK UNIFIED,64.0,427.0,2848.0,1039.0,18.0,7.0,181.0,4584.0
696,OAK RUN ELEMENTARY,0.0,1.0,54.0,0.0,1.0,0.0,8.0,64.0
697,OAK VALLEY UNION ELEMENTARY,8.0,418.0,127.0,2.0,6.0,0.0,3.0,564.0
698,OAK VIEW UNION ELEMENTARY,1.0,178.0,193.0,9.0,1.0,4.0,16.0,402.0
699,OAKDALE JOINT UNIFIED,29.0,1954.0,3034.0,102.0,46.0,14.0,98.0,5277.0
700,OAKLAND UNIFIED,12412.0,22333.0,4919.0,6833.0,139.0,447.0,2626.0,49709.0
701,OAKLEY UNION ELEMENTARY,477.0,2298.0,1644.0,331.0,28.0,27.0,210.0,5015.0
702,OCEAN VIEW,27.0,2331.0,152.0,100.0,3.0,4.0,24.0,2641.0
703,OCEAN VIEW,99.0,3325.0,3243.0,1284.0,22.0,24.0,470.0,8467.0
704,OCEANSIDE UNIFIED,1006.0,11334.0,5579.0,987.0,74.0,383.0,1266.0,20629.0
705,OJAI UNIFIED,19.0,894.0,1498.0,42.0,14.0,5.0,65.0,2537.0
706,OLD ADOBE UNION,26.0,853.0,913.0,80.0,8.0,9.0,103.0,1992.0
707,ONTARIO-MONTCLAIR,515.0,19375.0,730.0,551.0,139.0,56.0,299.0,21665.0
708,ORANGE CENTER,53.0,417.0,225.0,80.0,13.0,0.0,44.0,832.0
709,ORANGE COUNTY DEPARTMENT OF EDUCATION,125.0,3858.0,1527.0,349.0,33.0,37.0,304.0,6233.0
710,ORANGE UNIFIED,362.0,15693.0,8175.0,3302.0,55.0,88.0,847.0,28522.0
711,ORCHARD ELEMENTARY,30.0,339.0,56.0,393.0,4.0,24.0,48.0,894.0
712,ORCUTT UNION ELEMENTARY,42.0,2457.0,2240.0,144.0,37.0,14.0,340.0,5274.0
713,ORICK ELEMENTARY,0.0,0.0,13.0,0.0,0.0,0.0,1.0,14.0
714,ORINDA UNION ELEMENTARY,36.0,128.0,1712.0,470.0,13.0,4.0,179.0,2542.0
715,ORLAND JOINT UNIFIED,6.0,1359.0,734.0,68.0,18.0,0.0,16.0,2201.0
716,ORO GRANDE,446.0,2138.0,985.0,36.0,43.0,19.0,155.0,3822.0
717,OROVILLE CITY ELEMENTARY,85.0,454.0,1478.0,226.0,98.0,10.0,345.0,2696.0
718,OROVILLE UNION HIGH,74.0,432.0,1078.0,311.0,148.0,9.0,81.0,2133.0
719,OUTSIDE CREEK ELEMENTARY,0.0,83.0,27.0,1.0,0.0,0.0,1.0,112.0
720,OWENS VALLEY UNIFIED,0.0,34.0,35.0,0.0,10.0,0.0,5.0,84.0
721,OXNARD,195.0,15564.0,577.0,343.0,18.0,29.0,96.0,16822.0
722,OXNARD UNION HIGH,285.0,13191.0,2429.0,958.0,23.0,56.0,326.0,17268.0
723,PACHECO UNION ELEMENTARY,2.0,86.0,462.0,18.0,19.0,0.0,26.0,613.0
724,PACIFIC ELEMENTARY,0.0,35.0,62.0,1.0,0.0,0.0,8.0,106.0
725,PACIFIC GROVE UNIFIED,37.0,357.0,1288.0,214.0,6.0,14.0,162.0,2078.0
726,PACIFIC UNION ELEMENTARY,5.0,127.0,347.0,8.0,19.0,0.0,63.0,569.0
727,PACIFIC UNION ELEMENTARY,5.0,333.0,42.0,14.0,3.0,0.0,2.0,399.0
728,PACIFICA,41.0,803.0,1303.0,526.0,8.0,29.0,440.0,3150.0
729,PAJARO VALLEY UNIFIED,99.0,16671.0,3179.0,333.0,33.0,20.0,65.0,20400.0
730,PAJARO VALLEY UNIFIED SELPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
731,PALERMO UNION ELEMENTARY,9.0,432.0,572.0,41.0,69.0,0.0,123.0,1246.0
732,PALM SPRINGS UNIFIED,1157.0,17848.0,2791.0,721.0,103.0,32.0,435.0,23087.0
733,PALMDALE ELEMENTARY,3364.0,16769.0,1455.0,333.0,167.0,31.0,269.0,22388.0
734,PALO ALTO UNIFIED,226.0,1507.0,4920.0,4372.0,22.0,103.0,1109.0,12259.0
735,PALO VERDE UNIFIED,203.0,2146.0,637.0,32.0,17.0,7.0,54.0,3096.0
736,PALO VERDE UNION ELEMENTARY,1.0,460.0,64.0,0.0,6.0,0.0,4.0,535.0
737,PALOS VERDES PENINSULA UNIFIED,266.0,1390.0,5480.0,3447.0,26.0,19.0,800.0,11428.0
738,PANAMA-BUENA VISTA UNION,1640.0,10176.0,3840.0,1656.0,66.0,99.0,423.0,17900.0
739,PANOCHE ELEMENTARY,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0
740,PARADISE ELEMENTARY,1.0,57.0,6.0,0.0,0.0,0.0,135.0,199.0
741,PARADISE UNIFIED,25.0,582.0,3213.0,51.0,73.0,6.0,308.0,4258.0
742,PARAMOUNT UNIFIED,1181.0,13617.0,182.0,183.0,13.0,104.0,125.0,15405.0
743,PARLIER UNIFIED,1.0,3384.0,30.0,15.0,4.0,0.0,1.0,3435.0
744,PARTNERS IN NUTRITION COOPERATIVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
745,PASADENA UNIFIED,2382.0,10833.0,3274.0,1236.0,59.0,42.0,584.0,18410.0
746,PASO ROBLES JOINT UNIFIED,99.0,3620.0,2742.0,75.0,29.0,17.0,218.0,6800.0
747,PATTERSON JOINT UNIFIED,348.0,4433.0,737.0,228.0,26.0,101.0,189.0,6062.0
748,PENINSULA UNION,2.0,3.0,29.0,0.0,1.0,0.0,1.0,36.0
749,PENN VALLEY UNION ELEMENTARY,4.0,67.0,472.0,8.0,12.0,0.0,37.0,600.0
750,PERRIS ELEMENTARY,450.0,5231.0,212.0,46.0,8.0,12.0,4.0,5963.0
751,PERRIS UNION HIGH,652.0,7700.0,1664.0,357.0,26.0,47.0,350.0,10796.0
752,PETALUMA CITY ELEMENTARY,29.0,761.0,1422.0,61.0,15.0,6.0,110.0,2404.0
753,PETALUMA CITY ELEMENTARY/JOINT UNION HIGH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
754,PETALUMA JOINT UNION HIGH,66.0,1758.0,3109.0,174.0,31.0,18.0,207.0,5363.0
755,PIEDMONT CITY UNIFIED,38.0,207.0,1611.0,359.0,1.0,2.0,474.0,2692.0
756,PIERCE JOINT UNIFIED,21.0,1103.0,317.0,19.0,0.0,3.0,17.0,1480.0
757,PINE RIDGE ELEMENTARY,0.0,8.0,88.0,0.0,0.0,0.0,0.0,96.0
758,PINER-OLIVET UNION ELEMENTARY,45.0,646.0,495.0,110.0,22.0,10.0,94.0,1422.0
759,PIONEER UNION ELEMENTARY,0.0,14.0,42.0,0.0,1.0,0.0,9.0,66.0
760,PIONEER UNION ELEMENTARY,1.0,56.0,200.0,4.0,2.0,0.0,40.0,303.0
761,PIONEER UNION ELEMENTARY,84.0,721.0,625.0,117.0,18.0,19.0,29.0,1613.0
762,PITTSBURG UNIFIED,1967.0,7323.0,625.0,914.0,24.0,178.0,448.0,11479.0
763,PIXLEY UNION ELEMENTARY,21.0,1038.0,39.0,6.0,2.0,0.0,0.0,1106.0
764,PLACENTIA-YORBA LINDA UNIFIED,339.0,10730.0,9454.0,4359.0,54.0,57.0,741.0,25734.0
765,PLACER COUNTY OFFICE OF EDUCATION,14.0,141.0,521.0,17.0,12.0,2.0,68.0,775.0
766,PLACER HILLS UNION ELEMENTARY,5.0,53.0,620.0,7.0,7.0,0.0,29.0,721.0
767,PLACER UNION HIGH,26.0,555.0,3087.0,49.0,47.0,3.0,287.0,4054.0
768,PLACERVILLE UNION ELEMENTARY,5.0,377.0,816.0,10.0,13.0,3.0,69.0,1293.0
769,PLAINSBURG UNION ELEMENTARY,0.0,52.0,71.0,0.0,0.0,1.0,0.0,124.0
770,PLANADA ELEMENTARY,5.0,782.0,15.0,3.0,2.0,0.0,0.0,807.0
771,PLAZA ELEMENTARY,0.0,60.0,126.0,2.0,2.0,0.0,10.0,200.0
772,PLEASANT GROVE JOINT UNION,1.0,27.0,150.0,4.0,1.0,3.0,8.0,194.0
773,PLEASANT RIDGE UNION ELEMENTARY,2.0,111.0,983.0,10.0,6.0,2.0,64.0,1178.0
774,PLEASANT VALLEY,203.0,2732.0,3127.0,734.0,27.0,29.0,432.0,7284.0
775,PLEASANT VALLEY JOINT UNION ELEMENTARY,0.0,37.0,47.0,1.0,0.0,2.0,12.0,99.0
776,PLEASANT VIEW ELEMENTARY,0.0,422.0,4.0,32.0,2.0,0.0,16.0,476.0
777,PLEASANTON UNIFIED,201.0,1467.0,6330.0,6019.0,23.0,34.0,704.0,14778.0
778,PLUMAS COUNTY OFFICE OF EDUCATION,1.0,2.0,18.0,0.0,0.0,0.0,2.0,23.0
779,PLUMAS COUNTY ROP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
780,PLUMAS LAKE ELEMENTARY,41.0,321.0,668.0,79.0,15.0,7.0,141.0,1272.0
781,PLUMAS UNIFIED,25.0,326.0,1559.0,23.0,77.0,2.0,121.0,2133.0
782,POINT ARENA JOINT UNION HIGH,0.0,76.0,59.0,1.0,11.0,0.0,1.0,148.0
783,POLLOCK PINES ELEMENTARY,8.0,107.0,525.0,12.0,7.0,2.0,26.0,687.0
784,POMONA UNIFIED,1096.0,20746.0,886.0,1114.0,47.0,37.0,279.0,24205.0
785,POND UNION ELEMENTARY,0.0,184.0,6.0,4.0,1.0,0.0,1.0,196.0
786,POPE VALLEY UNION ELEMENTARY,0.0,35.0,18.0,0.0,2.0,0.0,3.0,58.0
787,PORTERVILLE UNIFIED,74.0,11554.0,1722.0,391.0,324.0,60.0,243.0,14368.0
788,PORTOLA VALLEY ELEMENTARY,8.0,91.0,433.0,34.0,0.0,4.0,57.0,627.0
789,POTTER VALLEY COMMUNITY UNIFIED,2.0,107.0,142.0,0.0,10.0,0.0,9.0,270.0
790,POWAY UNIFIED,822.0,5299.0,16892.0,9860.0,66.0,132.0,2801.0,35872.0
791,PRINCETON JOINT UNIFIED,2.0,101.0,66.0,0.0,0.0,0.0,0.0,169.0
792,PUPIL TRANSPORTATION CO-OP JPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
793,RAISIN CITY ELEMENTARY,43.0,566.0,47.0,19.0,4.0,0.0,14.0,693.0
